id,WI,dem,urban_near,road_near,耕地面积,林地面积,草地面积,湿地面积,城市面积,裸地面积,水体面积,NTL_mean
BD201400000379,1.642857143,14.65079365,24228.90647,308.7794329,91162587.8,0,0,0,0,0,818665.8815,0.251241772
BD201400000380,1.233333333,21.07482993,37560.2189,4838.950693,91162587.8,0,0,0,0,0,313441.1968,0.184981551
BD201400000381,3,18.28798186,9961.731696,5400.626521,91162587.8,0,0,522401.9946,288329.1743,0,36160020.63,0.284421324
BD201400000382,2.4,18.96650718,13049.3725,786.5605596,91162587.8,0,0,0,0,0,524283.7043,0.301122878
BD201400000383,2.166666667,19.67942584,17832.79059,10104.97817,91162587.8,1776166.782,0,0,0,0,10498577.37,0.184606102
BD201400000384,2.689655172,18.29573935,13501.48509,9777.035262,91162587.8,0,0,0,1044803.989,0,4829446.377,0.537800567
BD201400000385,1.75862069,25.12727273,8673.610609,5640.660262,91162587.8,0,0,0,0,0,208960.7979,0.288688369
BD201400000386,3.4,33.025,12922.95749,11778.4729,91162587.8,208960.7979,0,0,208960.7978,0,45868463.75,0.202054284
BD201400000387,2.310344828,14.56220096,10352.11503,3971.211538,91162587.8,0,0,0,0,0,7502244.052,0.300353331
BD201400000388,2.266666667,17.70909091,14249.28652,10798.23133,91162587.8,4229679.735,0,1223938.734,417921.5957,0,13827089.31,0.413327238
BD201400000389,2.285714286,13.08409091,11775.88331,5194.880337,91162587.8,0,0,0,0,0,586411.8467,0.212501402
BD201400000390,2.034482759,12.5875,6357.747878,5658.864206,91162587.8,0,1044803.989,0,37349.62817,626882.3936,14622100.08,0.202467673
BD201400000391,2.8,14.38409091,6613.046144,4094.66953,91162587.8,141815.4382,0,0,568421.6113,0,18371200.96,0.234392054
BD201400000392,2.785714286,14.14536341,8782.451191,1588.048799,91162587.8,0,3029931.569,0,2725891.708,626882.3936,29846187.91,0.295168221
BD201400000393,1.172413793,14.35227273,32466.89913,6321.196713,91162587.8,0,896872.7439,0,0,0,20778390.43,0.110152723
BD201400000394,2.24137931,24.00496278,25064.30211,2780.333197,91162587.8,0,0,0,417921.5957,0,3496396.043,0.281135291
BD201400000395,1.857142857,33.49761905,15624.9911,242.3951639,91162587.8,0,0,208960.7979,0,0,7098278.765,0.310591993
BD201400000396,3.814814815,22.23129252,3136.529682,312.8768648,91162587.8,417921.5957,0,0,1523941.538,0,1649173.457,1.003237922
BD201400000397,3.068965517,23.09047619,7980.548777,2749.416264,91162587.8,208960.7979,154903.696,0,0,0,1638613.921,0.435003887
BD201400000398,3.344827586,23.60454545,1809.581407,327.2059409,91162587.8,0,0,0,10186891.05,0,208960.7979,1.783690661
BD201400000399,2.766666667,9.401360544,34825.20514,8173.601955,91162587.8,417921.5958,0,0,208960.7978,0,7315853.224,0.412615896
BD201400000400,1.533333333,12.56937799,32136.96958,766.0590366,91162587.8,208960.7979,0,0,0,0,30657613.91,0.15359771
BD201400000401,2.433333333,11.90430622,22636.80486,3612.00155,91162587.8,0,0,0,0,0,15809242.94,0.209577564
BD201400000402,2.8,17.24489796,27670.15253,7825.476763,91162587.8,0,0,0,0,0,24399469.81,0.153773396
BD201400000403,2.793103448,15.92272727,19583.56415,5094.985667,91162587.8,0,0,0,289123.5676,0,12144568.95,0.245557987
BD201400000404,3.517241379,15.61666667,12890.13305,196.5742032,91162587.8,0,0,0,0,0,13581256.55,0.317226767
BD201400000405,2.5,10.72380952,13617.52304,608.3702706,91162587.8,0,0,0,626882.3935,0,4343253.322,0.326556519
BD201400000406,3.833333333,9.022727273,12467.17478,1554.107957,91162587.8,0,0,0,1091135.367,0,1053207.703,0.420616305
BD201400000407,2.666666667,16.9175,30885.57994,2523.604081,91162587.8,0,0,0,0,0,29272791.54,0.21698705
BD201400000408,2.586206897,16.525,17516.73998,4812.840188,91162587.8,0,0,0,626882.3936,0,3678794.424,0.493106911
BD201400000409,2.466666667,16.41136364,4599.477518,908.4560864,91162587.8,0,391211.3759,0,364501.1561,0,6356407.231,0.681291737
BD201400000410,1.586206897,24.20257235,15651.23318,6785.060653,91162587.8,0,4177597.157,0,0,0,19094666,0.057563345
BD201400000411,1.9,17.55,13568.71677,5546.404644,91162587.8,0,0,0,104480.3989,0,1466888.7,0.32803113
BD201400000412,1.068965517,18.22619048,20768.40043,11328.50162,91162587.8,338309.7872,7880389.616,0,104480.3989,23304.74171,37311618.41,0.149988747
BD201400000413,1.785714286,17.17703349,24338.91374,7935.23574,91162587.8,0,6777821.661,0,522401.9946,0,31109104.37,0.277193777
BD201400000414,2.655172414,14.2175,14895.38441,405.8890664,91162587.8,0,394136.898,0,0,0,0,0.1575688
BD201400000415,1.7,14.72857143,8166.799072,5823.95087,91162587.8,0,0,0,104480.3989,0,28526125.47,0.303767572
BD201400000416,2.103448276,14.44019139,13040.52205,3002.02308,91162587.8,0,0,0,104480.3989,0,2194088.377,0.581266871
BD201400000417,2.827586207,14.79318182,17073.35124,514.025374,91162587.8,0,0,0,38227.66924,0,1298825.158,0.426569976
BD201400000418,4.72,8.447727273,218.8904474,453.5448306,91162587.8,0,0,0,16553288.68,0,497891.8461,1.958671604
BD201400000419,4.928571429,9.114285714,0,45.37770363,91162587.8,0,0,0,19204544.91,0,0,2.278897034
BD201400000420,3.827586207,16.68027211,1328.031485,592.8898255,91162587.8,0,0,148218.7111,15478459.2,0,430862.3218,1.837052809
BD201400000421,3.344827586,11.705,0,278.4715452,91162587.8,0,0,0,1567205.984,0,0,0.813883403
BD201400000422,3.620689655,14.61666667,1018.340563,1690.639152,91162587.8,0,0,0,13419990.07,0,0,1.76826106
BD201400000423,3.666666667,13.4452381,13281.57854,446.8341673,91162587.8,0,0,0,0,0,0,0.234526286
BD201400000424,1.896551724,21.42380952,10470.02994,27.54445808,91162587.8,0,0,0,0,0,0,0.354055776
BD201400000425,4.103448276,21.49206349,2372.784832,31.10941848,91162587.8,0,0,0,4220376.077,0,5242644.178,0.998984759
BD201400000426,3.444444444,21.2547619,2208.559992,877.9831975,91162587.8,0,0,0,4574148.177,0,10361534.59,1.021717266
BD201400000427,3.866666667,19.35,13158.03292,10705.94663,91162587.8,0,0,0,1044803.989,0,8465048.051,0.547927601
BD201400000428,3.142857143,20.84580499,816.0004996,2962.205405,91162587.8,0,0,0,3656813.962,0,1776166.782,0.934882631
BD201400000429,3.033333333,19.91666667,13811.33838,528.0318699,91162587.8,0,0,0,0,0,0,0.267490183
BD201400000430,3.366666667,21.40430622,0,856.1194247,91162587.8,0,0,0,14491642.82,0,17731823,1.263221848
BD201400000431,3.482758621,16.75963719,33122.61661,2608.072451,91162587.8,0,2018016.965,0,626882.3936,835843.1914,21853426.35,0.404416097
BD201400000432,4.266666667,16.58333333,0,11.03967633,91162587.8,0,0,0,4597137.553,0,7422235.871,1.662433464
