id,??,??,??,??,??,??,??,WI,NTL_mean,road,dem
BD201800000207,1.29457,0,0.55004,3.0242,62.08568,0,33.04407,2.068965517,0.247791421,0,6.361256545
BD201800000208,0.06432,0.07154,0,0.34273,97.74203,0,1.77789,3.966666667,0.436997693,15.07,9.143576826
BD201800000209,0,0,0,0,99.54074,0,0.45775,3.433333333,0.91567008,14.53,17.40136054
BD201800000210,0,1.31123,0.574,0,97.77401,0,0.33925,2.7,1.376345792,4.66,6.473922902
BD201800000211,0,0,0,0,99.55767,0,0.44083,2.321428571,0.404289799,24.83,1.345844504
BD201800000212,3.95863,0.49006,0.11104,0,83.8363,0,11.60247,3,0.996506791,3.5,44.875
BD201800000213,0,0.00814,0,0,96.81847,0,3.17189,3.642857143,0.942207004,0,16.07709751
BD201800000214,0,0,0,0,97.16436,0,2.83414,3.068965517,0.536705227,0,17.0825
BD201800000215,0,1.12726,0,0,98.62972,0,0.24151, ,1.319093405,2.94,20.64399093
BD201800000216,0,24.34414,0,0,13.84003,0,61.81434,2.857142857,6.926307785,58.88,4.5
BD201800000217,0,53.59034,1.19054,0,18.66204,0,26.5556,3.689655172,9.386409029,55.87,17.845
BD201800000218,0.03992,66.79487,0.1365,0,23.38474,0,9.64242,4.517241379,10.12226155,60.2,22.81179138
BD201800000219,0.12142,0.39258,4.2495,0.95061,81.53385,0.12142,12.62912,1.833333333,0.668362754,12.28,8.811791383
BD201800000220,0.27753,69.31925,0,0,20.9432,0,9.45851,4.433333333,14.13054912,98.54,68.26666667
BD201800000221,0,52.42428,0.20942,0,39.62981,0,7.73503,3.233333333,10.05756256,123.34,14.89115646
BD201800000222,0,80.02053,0,0,14.07753,0,5.90052,3.666666667,14.85617575,169.25,18.32180851
BD201800000223,0,21.94348,0.82967,0,66.60375,0,10.62165,3.821428571,3.184887756,12.41,47.43
BD201800000224,0,34.71791,2.25633,0,33.65554,0,29.36875,4.107142857,6.078218335,51.17,25.2125
BD201800000225,0,0.07154,0.52223,0,98.86094,0,0.5438,2.142857143,0.523327599,8.53,13.29931973
BD201800000226,0,44.23708,0.90575,0,39.3006,0,15.5551,3.3,6.379311877,23.35,2.238095238
BD201800000227,0,43.04919,0.74874,0,37.43814,0,18.76248,3.357142857,6.126645548,41.75,6.704761905
BD201800000228,0,12.97567,1.38741,0,72.39397,0,13.24142,2.5,2.159059,6.97,6.9625
BD201800000229,0,12.94522,1.70832,0,85.34491,0,0,2.862068966,3.624431017,10.65,13.03809524
BD201800000230,0,2.19504,0.48261,0,75.36917,0,21.95171,3.266666667,1.472666581,6.41,57.03921569
BD201800000231,0,4.45207,0,0,95.54642,0,0,3.233333333,1.063755416,49.4,7.595238095
BD201800000233,0,0.32454,1.56747,0,97.95415,0,0.15235,2.3,0.728752291,12.64,11.41950113
BD201800000234,0,57.85634,0.22594,0,33.01192,0,8.90423,3.259259259,8.704885586,49.13,12.57142857
BD201800000235,0,54.75545,0.57255,0,41.96544,0,2.70508,3.444444444,9.196628125,36.01,6.968253968
BD201800000236,0,1.31021,1.44556,0,76.65272,0,20.59006,2.862068966,1.728828302,16.42,23.34269663
BD201800000237,0,6.54346,3.38212,0,83.39736,0,6.67559,2.75862069,2.2245436,17.15,11.89115646
BD201800000238,0,3.75278,20.93128,0,69.49495,0,5.81948,2.8,2.664160965,39.21,#N/A
BD201800000239,0.18898,0.07154,6.28668,0.44554,77.39194,0,15.61385,1.965517241,0.415499648,0,5.455696203
BD201800000240,0,1.31123,0,0,96.8515,0,1.83577,1.821428571,0.932711222,9.23,107.8809524
BD201800000241,0,0.31881,0.06111,0,99.19079,0,0.42777,1.933333333,1.051361534,30.24,11.92961165
BD201800000242,0,45.37732,0.05239,0,27.2585,0,27.31033,3.16,8.684385673,91.86,12.48571429
BD201800000243,0,68.64275,0.20896,0,7.3133,0,23.83346,4.518518519,15.88997217,210.21,5.040816327
BD201800000244,0,63.37064,0.71767,0,12.21305,0,23.69718,4.034482759,12.89479226,105.1,19.63571429
BD201800000245,0,54.8922,0.27587,0,14.35095,0,30.47941,5,10.32284166,104.81,6.344051447
BD201800000246,0.27753,59.49615,0,0,27.79786,0,12.427,4.642857143,9.593256047,88.35,21
BD201800000247,0,91.16303,0.20896,0,2.55231,0,6.07417,4.461538462,19.4589617,247.69,6.0861678
BD201800000248,0.27753,78.30491,0,0,15.16098,0,6.25516,4.035714286,16.62843181,167.13,27.57142857
BD201800000249,0,57.48394,0.92663,0,11.12914,0,30.45872,4.269230769,11.80801527,93.33,12.22675737
BD201800000250,0,90.89188,0.33272,0,6.07081,0,2.70305,4.888888889,17.16689233,203.02,18.01360544
BD201800000251,0,76.28404,0.39805,0,11.61962,0,11.69684,4.961538462,13.70600016,230.27,15.7175
BD201800000252,0,51.61241,0,0,20.72217,0,27.66394,2.866666667,10.80845167,126.22,7.217687075
BD201800000253,0.05462,64.58454,0.05738,0,28.34569,0,6.95639,3.75,2.125765725,155.17,6.895238095
BD201800000254,0,48.81088,0.19555,0,45.97569,0,5.01642,3.142857143,8.868352946,102.15,4.172335601
BD201800000255,0,53.41464,0.27587,0,14.44841,0,31.85954,3.344827586,10.05297092,100.28,64.71333333
BD201800000256,0,66.47913,0.20896,0,11.17709,0,22.13331,4.25,13.89524655,170.25,8.673469388
BD201800000257,0,52.41918,0.41838,0,30.49151,0,16.66947,2.291666667,10.23102225,124.4,54.83333333
BD201800000258,0,90.1118,0.20896,0,3.36156,0,6.31622,5,13.28722668,278.05,12.0325
BD201800000259,0,81.17393,0.66095,0,9.04502,0,9.11855,4.321428571,15.51774728,191.58,127.2119048
BD201800000260,0,51.16485,0.71767,0,13.61517,0,34.5008,4.448275862,10.83311116,69.57,14.90163934
BD201800000261,0,87.09265,0.20896,0,5.40946,0,7.28745,5,15.93172575,278.96,40.23129252
BD201800000262,0,70.5856,0.06655,0,10.36637,0,18.97997,4.8,3.333561564,223.82,43.87
BD201800000263,0,73.88527,0,0,12.68577,0,13.42753,4.192307692,2.449259329,196.5,24.54195011
BD201800000264,0.27753,65.37138,0,0,24.19058,0,10.15906,4.333333333,12.50373984,111.31,7.49047619
